step	lr
0	1e-06
1	1.1134396090623615e-06
2	1.2397477630289445e-06
3	1.380384264602885e-06
4	1.5369745159352718e-06
5	1.7113283041617814e-06
6	1.905460717963248e-06
7	2.1216154368926853e-06
8	2.362290662634463e-06
9	2.6302679918953834e-06
10	2.9286445646252383e-06
11	3.260868859118935e-06
12	3.6307805477010158e-06
13	4.042654873623445e-06
14	4.501252062061339e-06
15	5.011872336272726e-06
16	5.580417174769968e-06
17	6.213457517480761e-06
18	6.91830970918937e-06
19	7.703120057972152e-06
20	8.576958985908948e-06
21	9.549925860214369e-06
22	1.0633265716371623e-05
23	1.1839499222293031e-05
24	1.3182567385564085e-05
25	1.467799267622071e-05
26	1.6343058427231392e-05
27	1.8197008586099854e-05
28	2.0261270126211456e-05
29	2.255970068843579e-05
30	2.5118864315095832e-05
31	2.7968338463090807e-05
32	3.114105584446764e-05
33	3.4673685045253215e-05
34	3.860705432153819e-05
35	4.298662347082284e-05
36	4.786300923226391e-05
37	5.329257028812013e-05
38	5.93380586275329e-05
39	6.606934480075973e-05
40	7.356422544596428e-05
41	8.19093224215299e-05
42	9.120108393559117e-05
43	0.00010154689924330824
44	0.00011306633979496414
45	0.00012589254117941701
46	0.00014017374183467732
47	0.0001560749963092115
48	0.00017378008287493798
49	0.00019349362753909573
50	0.00021544346900318894
51	0.0002398832919019497
52	0.0002670955587558992
53	0.0002973947745234614
54	0.000331131121482592
55	0.0003686945064519586
56	0.00041051906712730906
57	0.00045708818961487634
58	0.0005089400951518105
59	0.000566674060581993
60	0.0006309573444801952
61	0.0007025328989730543
62	0.000782227956386005
63	0.0008709635899560834
64	0.0009697653591082525
65	0.0010797751623277134
66	0.0012022644346174171
67	0.001338648842069998
68	0.0014905046433862014
69	0.0016595869074375667
70	0.0018478497974222978
71	0.002057469156047847
72	0.002290867652767782
73	0.0025507427837113687
74	0.002840098047914226
75	0.003162277660168392
76	0.0035210052016845335
77	0.003920426655270168
78	0.0043651583224016775
79	0.0048603401759902375
80	0.005411695265464659
81	0.006025595860743603
82	0.006709137099554141
83	0.007470218989273349
84	0.008317637711026747
85	0.009261187281287976
86	0.010311772745930599
87	0.01148153621496888
88	0.012783997194630296
89	0.014234208838643483
90	0.01584893192461121
91	0.017646828566195087
92	0.019648677899934772
93	0.021877616239495634
94	0.02435940447292039
95	0.02712272579332042
96	0.030199517204020317
97	0.033625338629516444
98	0.037439783898238314
99	0.04168693834703376
100	0.04641588833612804
101	0.051681288563260624
102	0.057543993733716006
103	0.06407176188675573
104	0.07134003750712602
105	0.0794328234724286
106	0.08844365191386047
107	0.09847666521101639
108	0.10964781961431914
109	0.12208622540590784
110	0.13593563908785336
111	0.1513561248436217
112	0.16852590447507615
113	0.18764341719560967
114	0.20892961308540522
115	0.23263050671536403
116	0.259020020453134
117	0.2884031503126624
118	0.3211194909364843
119	0.3575471604506236
120	0.3981071705534998
121	0.4432682923460117
122	0.4935524741394839
123	0.5495408738576282
124	0.6118805757518261
125	0.6812920690579659
126	0.758577575029189
127	0.8446303185839744
128	0.9404448517263583
129	1.047128548050907
130	1.1659144011798401
131	1.2981752750498585
132	1.445439770745938
133	1.6094098932625467
134	1.791980722375347
135	1.9952623149688946
136	2.2216040919558284
137	2.47362199163864
138	2.7542287033381876
139	3.0666673307132064
140	3.414548873833628
141	3.8018939632056417
142	4.233179328088242
143	4.713389536157442
144	5.248074602497768
145	5.843414133735223
146	6.506288748655624
147	7.244359600749959
148	8.0661569217662
149	8.981178609607019
