step	losses
0	49.40852355957031
1	49.828780514511
2	49.46763738043521
3	49.17252846288412
4	49.091029368225044
5	49.14044989957651
6	48.987883633203
7	48.90297861578247
8	48.7736595425064
9	48.764501115307446
10	48.84161955805146
11	48.896073987804584
12	48.956678154830016
13	48.91056365972806
14	48.88309598160365
15	48.94151274489017
16	48.92464478578811
17	48.871534693741786
18	48.908695912599875
19	48.93365575500479
20	48.90018249650059
21	48.899727615939
22	48.86009061260237
23	48.82164644529172
24	48.79659928206094
25	48.77253004406143
26	48.741963142466155
27	48.720922462908035
28	48.70859539537402
29	48.62382765462477
30	48.63351561470793
31	48.65452958210345
32	48.66257699047521
33	48.63386218307154
34	48.640197558333774
35	48.692894699953264
36	48.71070571679246
37	48.70400208218495
38	48.717068746992275
39	48.699013369638834
40	48.71894880064406
41	48.7064953816554
42	48.693566676200156
43	48.68891040175653
44	48.6664978283942
45	48.67964212271174
46	48.68295955203375
47	48.685915168641564
48	48.72586850785165
49	48.72884265819839
50	48.74497318335015
51	48.77070581102455
52	48.77213890667384
53	48.77059315084339
54	48.753868090292755
55	48.732209607742504
56	48.7308650132604
57	48.71841065085569
58	48.717109707055755
59	48.69607469304967
60	48.694636191639795
61	48.682303092182565
62	48.676245721955475
63	48.663780522321474
64	48.65731470590468
65	48.65549484773468
66	48.653761309661974
67	48.647798531862385
68	48.63933018468118
69	48.60505187450475
70	48.62300785142826
71	48.60377367234893
72	48.61439743913644
73	48.61313547541559
74	48.60685991734204
75	48.615122486607596
76	48.60225269203788
77	48.6098005836751
78	48.59324371789539
79	48.58715339060329
80	48.58068943958522
81	48.57109788457243
82	48.568174005756
83	48.554405267749246
84	48.534133394943915
85	48.56171845386236
86	48.557190842060024
87	48.559584262808166
88	48.55177472919066
89	48.54297280630406
90	48.53990438241675
91	48.54052195150784
92	48.53795044920157
93	48.5198968656544
94	48.51972446774324
95	48.512674281125584
96	48.506646821964864
97	48.4893658936528
98	48.46852071689576
99	48.467784220441715
100	48.459534113463796
101	48.464558786011544
102	48.45544812348528
103	48.4486290498048
104	48.45208749578261
105	48.43131045318016
106	48.42278645401451
107	48.39961892312276
108	48.401904928036146
109	48.385202287282205
110	48.38859168544337
111	48.39954849983754
112	48.381688672536505
113	48.37217426561455
114	48.34422331446006
115	48.32993610100514
116	48.323911428378956
117	48.30686639816372
118	48.30435537603683
119	48.2765850409044
120	48.27242679063089
121	48.26712194237935
122	48.27685340717576
123	48.26413489405543
124	48.249650332856255
125	48.249449949406944
126	48.23734496986472
127	48.22549529060913
128	48.20653512440779
129	48.19343571783085
130	48.18781138964063
131	48.178589155459285
132	48.17122919020118
133	48.167070498917106
134	48.165944581410066
135	48.151006839313176
136	48.12942209844227
137	48.128214666950655
138	48.10609027714587
139	48.096773319636384
140	48.08461594338985
141	48.07670677079846
142	48.06564304492781
143	48.06300941352699
144	48.05499844599127
145	48.052471778652055
146	48.04679433004659
147	48.04861506793123
148	48.040625639477604
149	48.03065503679878
150	48.02709505108824
151	48.02079177669027
152	48.01265817784882
153	48.00808725935633
154	48.00749471024366
155	48.012592297638164
156	48.005457554124476
157	47.991753155735054
158	47.988618564835036
159	47.98421266478032
160	47.972571790895955
161	47.95792379001743
162	47.952885768956406
163	47.94513298237918
164	47.943394612147465
165	47.93744527785758
166	47.92433704443492
167	47.91802140104822
168	47.90198900222746
169	47.89778859743045
170	47.89495534415088
171	47.901044130724046
172	47.90281004803721
173	47.903756495229814
174	47.914968992471884
175	47.903445897230505
176	47.91552621991593
177	47.89522227651234
178	47.88616700942186
179	47.89283420009765
180	47.90055319214794
181	47.89211717780197
182	47.88950117378219
183	47.88575321761752
184	47.885398918757
185	47.90478744653719
186	47.99609179063649
187	49.285725766555124
